precision,recall,threshold
0.5,1.0,0.22513332401588862
0.5217391304347826,1.0,0.22645356666377925
0.5454545454545454,1.0,0.2274473361562358
0.5714285714285714,1.0,0.2284441787986001
0.631578947368421,1.0,0.22911044698698618
0.6666666666666666,1.0,0.23011240751717837
0.7058823529411765,1.0,0.24866989198272704
0.75,1.0,0.25075193618730407
0.8,1.0,0.2615849488076635
0.8571428571428571,1.0,0.2737225547781206
0.9230769230769231,1.0,0.3085660917805061
1.0,1.0,0.7215810398946374
1.0,0.9166666666666666,0.7247507572430336
1.0,0.8333333333333334,0.7270049115445094
1.0,0.75,0.7285012600331271
1.0,0.6666666666666666,0.7287306001254419
1.0,0.5833333333333334,0.7294764456928929
1.0,0.25,0.7309642603624442
1.0,0.08333333333333333,0.7317062256034427
