threshold,precision,recall
0.23020192124781427,0.5,1.0
0.23120920102882822,0.5714285714285714,1.0
0.23221955872308073,0.6,1.0
0.23391032194676903,0.631578947368421,1.0
0.24249187672519598,0.6666666666666666,1.0
0.2517836243122398,0.7058823529411765,1.0
0.2557602066985154,0.75,1.0
0.2706150230152478,0.8,1.0
0.28253691831856975,0.8571428571428571,1.0
0.2995129345584782,0.9230769230769231,1.0
0.7244262076812948,1.0,1.0
0.7251809030275475,1.0,0.75
0.7263105361894948,1.0,0.6666666666666666
0.7274372712499678,1.0,0.4166666666666667
0.7278122043780116,1.0,0.3333333333333333
0.7285611012708731,1.0,0.08333333333333333
