precision,recall,threshold
0.5,1.0,0.4666345437324999
0.5217391304347826,1.0,0.4689606210568754
0.5454545454545454,1.0,0.4728301818251845
0.5714285714285714,1.0,0.47549832969689937
0.6,1.0,0.47663236588578134
0.631578947368421,1.0,0.48069145976751954
0.6666666666666666,1.0,0.4860496875169008
0.7058823529411765,1.0,0.48692899945508084
0.75,1.0,0.4891436566682258
0.8,1.0,0.4937387793588621
0.8571428571428571,1.0,0.4947201194537732
0.9230769230769231,1.0,0.496723400541238
1.0,1.0,0.536836670517045
1.0,0.9166666666666666,0.5373923919629342
1.0,0.8333333333333334,0.5439055380135874
1.0,0.75,0.5442540451582988
1.0,0.6666666666666666,0.5483472362002288
1.0,0.5833333333333334,0.5518317331480855
1.0,0.5,0.5522766174700222
1.0,0.4166666666666667,0.5558946882583572
1.0,0.3333333333333333,0.5593293314057561
1.0,0.25,0.5601200889184053
1.0,0.16666666666666666,0.5607116958392021
1.0,0.08333333333333333,0.5624038250145461
