precision,recall,threshold
0.5,1.0,0.22647149850050327
0.5454545454545454,1.0,0.2277826042141601
0.6,1.0,0.2304208382748868
0.6666666666666666,1.0,0.23812445125177492
0.75,1.0,0.24628047131137476
0.8,1.0,0.24983295560254315
0.8571428571428571,1.0,0.25299575268100416
0.9230769230769231,1.0,0.2984072233353091
1.0,1.0,0.7044490258594566
1.0,0.8333333333333334,0.7083217477526242
1.0,0.75,0.7094777267398238
1.0,0.6666666666666666,0.7113983324941207
1.0,0.5833333333333334,0.7117815469303083
1.0,0.5,0.7125470666055516
1.0,0.4166666666666667,0.7133113719749713
1.0,0.3333333333333333,0.7140744606085928
1.0,0.25,0.7155969780718872
