precision,recall,threshold
0.5,1.0,0.4569005201382061
0.5217391304347826,1.0,0.45980087227833716
0.5454545454545454,1.0,0.46314025688396504
0.5714285714285714,1.0,0.46681708785333326
0.6,1.0,0.4681963304253638
0.631578947368421,1.0,0.47422590413123616
0.6666666666666666,1.0,0.4787000570171733
0.7058823529411765,1.0,0.47881957310830364
0.75,1.0,0.4843282091582345
0.8,1.0,0.4889651985191122
0.8571428571428571,1.0,0.48924806734387205
0.9230769230769231,1.0,0.49325619753122163
1.0,1.0,0.5442542378130797
1.0,0.9166666666666666,0.5452761691546656
1.0,0.8333333333333334,0.5526584068164363
1.0,0.75,0.5529215396173518
1.0,0.6666666666666666,0.5574447974145941
1.0,0.5833333333333334,0.5618680181956087
1.0,0.5,0.5622912193092606
1.0,0.4166666666666667,0.5671134917317353
1.0,0.3333333333333333,0.5710778498570496
1.0,0.25,0.5714537166792113
1.0,0.16666666666666666,0.5718674303729785
1.0,0.08333333333333333,0.5744503113415371
