precision,recall,threshold
0.5,1.0,0.23015177880875856
0.5217391304347826,1.0,0.2311551891763707
0.5454545454545454,1.0,0.2321616549357749
0.5714285714285714,1.0,0.2333397237403988
0.6,1.0,0.239979145270791
0.631578947368421,1.0,0.24204785923228395
0.6666666666666666,1.0,0.24308675723223486
0.7058823529411765,1.0,0.2575863524468536
0.75,1.0,0.26762257808451634
0.8,1.0,0.2883077263086344
0.8571428571428571,1.0,0.29669352912650976
0.9230769230769231,1.0,0.3171066565890202
1.0,1.0,0.7019188284114222
1.0,0.9166666666666666,0.706238593547044
1.0,0.8333333333333334,0.7078003209027562
1.0,0.75,0.7089684112792652
1.0,0.6666666666666666,0.7097456069591419
1.0,0.5833333333333334,0.7103276979547473
1.0,0.5,0.7120698153684036
1.0,0.4166666666666667,0.7143829022079734
1.0,0.3333333333333333,0.7149319905017996
1.0,0.25,0.7149594282502805
1.0,0.16666666666666666,0.7155352539534579
1.0,0.08333333333333333,0.7160830073410572
