precision,recall,threshold
0.5,1.0,0.22456416980182425
0.5454545454545454,1.0,0.22654190777122263
0.6,1.0,0.22853193037385158
0.631578947368421,1.0,0.2318758952803363
0.6666666666666666,1.0,0.23204398695269016
0.7058823529411765,1.0,0.23322300850864747
0.75,1.0,0.23525386942387164
0.8,1.0,0.2528284598811824
0.8571428571428571,1.0,0.2535420690535284
0.9230769230769231,1.0,0.2565897150257053
1.0,1.0,0.7136311101223657
1.0,0.9166666666666666,0.7138238898665689
1.0,0.8333333333333334,0.7151711683712777
1.0,0.6666666666666666,0.7153633248822597
1.0,0.5,0.7159393258074311
1.0,0.4166666666666667,0.7167062322156399
1.0,0.3333333333333333,0.7182362823949995
1.0,0.08333333333333333,0.7205219159195013
