precision,recall,threshold
0.5,1.0,0.4559180016170705
0.5217391304347826,1.0,0.45908357077631873
0.5454545454545454,1.0,0.4591982718574474
0.5714285714285714,1.0,0.46762671477570983
0.6,1.0,0.4702612723840337
0.631578947368421,1.0,0.47276979729664637
0.6666666666666666,1.0,0.4757751673366173
0.7058823529411765,1.0,0.479494885648364
0.75,1.0,0.4852812878479394
0.8,1.0,0.49047669203204697
0.8571428571428571,1.0,0.49080455483022856
0.9230769230769231,1.0,0.4914706683538564
1.0,1.0,0.5524260376667871
1.0,0.9166666666666666,0.553865126363697
1.0,0.8333333333333334,0.5622594302125616
1.0,0.75,0.562554918469752
1.0,0.6666666666666666,0.5656154738555089
1.0,0.5833333333333334,0.5705288209021347
1.0,0.5,0.5715192901509255
1.0,0.4166666666666667,0.5762627169424982
1.0,0.3333333333333333,0.5795129366290342
1.0,0.25,0.5810114661326505
1.0,0.16666666666666666,0.581356196591786
1.0,0.08333333333333333,0.5832588095143575
