threshold,precision,recall
0.3765344449445827,0.5,1.0
0.38044663753787217,0.5042735042735043,1.0
0.3821019549195195,0.5086206896551724,1.0
0.3913104213661179,0.5130434782608696,1.0
0.3968962097065344,0.5175438596491229,1.0
0.3993702365254487,0.5221238938053098,1.0
0.4071539170203783,0.5267857142857143,1.0
0.4108975587149161,0.5315315315315315,1.0
0.41182620356466704,0.5363636363636364,1.0
0.4125286814421805,0.5412844036697247,1.0
0.4128515433836046,0.5462962962962963,1.0
0.413069406526416,0.5514018691588785,1.0
0.420180756548958,0.5566037735849056,1.0
0.4214820508758326,0.5619047619047619,1.0
0.42177940794741214,0.5673076923076923,1.0
0.4217976982530688,0.5728155339805825,1.0
0.4220243555040006,0.5784313725490197,1.0
0.42335533774938555,0.5841584158415841,1.0
0.4241708156471065,0.59,1.0
0.42431355780556396,0.5959595959595959,1.0
0.42456036236829187,0.6020408163265306,1.0
0.4261170080280512,0.6082474226804123,1.0
0.42727246421626497,0.6145833333333334,1.0
0.4275092258570185,0.6210526315789474,1.0
0.4279646054549857,0.6276595744680851,1.0
0.42945825411074445,0.6344086021505376,1.0
0.4295260625370557,0.6413043478260869,1.0
0.4299499175208574,0.6483516483516484,1.0
0.4306924402454332,0.6444444444444445,0.9830508474576272
0.4338650483891316,0.651685393258427,0.9830508474576272
0.4349075468085597,0.6590909090909091,0.9830508474576272
0.43512212517290777,0.6666666666666666,0.9830508474576272
0.4378052281289744,0.6744186046511628,0.9830508474576272
0.43800267702390744,0.6823529411764706,0.9830508474576272
0.44006342931857406,0.6904761904761905,0.9830508474576272
0.4453767796030072,0.6987951807228916,0.9830508474576272
0.44852560515260365,0.7073170731707317,0.9830508474576272
0.44984743385081727,0.7037037037037037,0.9661016949152542
0.4530034109366926,0.7125,0.9661016949152542
0.4541004655336791,0.7215189873417721,0.9661016949152542
0.45420780561954527,0.7307692307692307,0.9661016949152542
0.45881260160259263,0.7272727272727273,0.9491525423728814
0.45967065426881865,0.7368421052631579,0.9491525423728814
0.46096712078858376,0.7466666666666667,0.9491525423728814
0.4611148924043513,0.7567567567567568,0.9491525423728814
0.4611753961303732,0.7671232876712328,0.9491525423728814
0.46198852298500265,0.7777777777777778,0.9491525423728814
0.4626039059433442,0.7887323943661971,0.9491525423728814
0.4628822590206694,0.8,0.9491525423728814
0.46494482589833414,0.7971014492753623,0.9322033898305084
0.46692038114884,0.8088235294117647,0.9322033898305084
0.4677707235846363,0.8208955223880597,0.9322033898305084
0.47109723117045704,0.8333333333333334,0.9322033898305084
0.4733626461113189,0.8461538461538461,0.9322033898305084
0.47408092280065034,0.859375,0.9322033898305084
0.47490429018875646,0.873015873015873,0.9322033898305084
0.47556045706392297,0.8870967741935484,0.9322033898305084
0.47772975059111555,0.9016393442622951,0.9322033898305084
0.4777765240398875,0.9166666666666666,0.9322033898305084
0.4786081170795556,0.9322033898305084,0.9322033898305084
0.4875462860890928,0.9482758620689655,0.9322033898305084
0.4913538010910958,0.9649122807017544,0.9322033898305084
0.49737975530223105,0.9642857142857143,0.9152542372881356
0.49979281312811413,0.9636363636363636,0.8983050847457628
0.5012833038397444,0.9629629629629629,0.8813559322033898
0.507507160324407,0.9811320754716981,0.8813559322033898
0.5124292943003704,0.9807692307692307,0.864406779661017
0.5127671076567437,0.9803921568627451,0.847457627118644
0.5189075513857493,0.98,0.8305084745762712
0.5201694922455969,0.9795918367346939,0.8135593220338984
0.5245472433661141,0.9791666666666666,0.7966101694915254
0.5254995581654067,0.9787234042553191,0.7796610169491526
0.5279071251018023,0.9782608695652174,0.7627118644067796
0.5332481924660696,1.0,0.7627118644067796
0.5334654551643757,1.0,0.7457627118644068
0.5372176664504827,1.0,0.7288135593220338
0.5397262903573106,1.0,0.711864406779661
0.5416176584605776,1.0,0.6949152542372882
0.5443280919524386,1.0,0.6779661016949152
0.5466401784509698,1.0,0.6610169491525424
0.548851906685967,1.0,0.6440677966101694
0.5517818921066949,1.0,0.6271186440677966
0.5521842792515754,1.0,0.6101694915254238
0.5535642759535642,1.0,0.5932203389830508
0.5536811198909066,1.0,0.576271186440678
0.5576325597955814,1.0,0.559322033898305
0.5605870728755048,1.0,0.5423728813559322
0.5651621102961544,1.0,0.5254237288135594
0.5658077305610788,1.0,0.5084745762711864
0.5658993011845675,1.0,0.4915254237288136
0.5678417312932459,1.0,0.4745762711864407
0.5755125631001928,1.0,0.4576271186440678
0.5795531435716809,1.0,0.4406779661016949
0.5827221909343441,1.0,0.423728813559322
0.5831751560164925,1.0,0.4067796610169492
0.5843384023245363,1.0,0.3898305084745763
0.5843917542169988,1.0,0.3728813559322034
0.5857062745746943,1.0,0.3559322033898305
0.5865651961696949,1.0,0.3389830508474576
0.5866919200570776,1.0,0.3220338983050847
0.5906293718220513,1.0,0.3050847457627119
0.5915399587605467,1.0,0.288135593220339
0.5921681084633938,1.0,0.2711864406779661
0.5923493830343306,1.0,0.2542372881355932
0.5923733618199026,1.0,0.23728813559322035
0.5924870249492441,1.0,0.22033898305084745
0.5929130529014045,1.0,0.2033898305084746
0.5930607570083692,1.0,0.1864406779661017
0.5940795725604471,1.0,0.1694915254237288
0.5942809347216783,1.0,0.15254237288135594
0.5953767420917084,1.0,0.13559322033898305
0.5992309043076407,1.0,0.11864406779661017
0.601139114259246,1.0,0.1016949152542373
0.6018449926318901,1.0,0.0847457627118644
0.6023743770283874,1.0,0.06779661016949153
0.6050229210051834,1.0,0.05084745762711865
0.6054705152285149,1.0,0.03389830508474576
0.6244045163185366,1.0,0.01694915254237288
