precision,recall,threshold
0.5,1.0,0.4555578337135273
0.5217391304347826,1.0,0.4580505981677964
0.5454545454545454,1.0,0.45833168008642583
0.5714285714285714,1.0,0.4659953831105715
0.6,1.0,0.4691365686047252
0.631578947368421,1.0,0.4719264388490914
0.6666666666666666,1.0,0.4751095988837114
0.7058823529411765,1.0,0.4782551279813062
0.75,1.0,0.48516815339260777
0.8,1.0,0.4882440056429959
0.8571428571428571,1.0,0.48937909339394325
0.9230769230769231,1.0,0.4905755688414223
1.0,1.0,0.5525613839916368
1.0,0.9166666666666666,0.5541057681927309
1.0,0.8333333333333334,0.5622981902304911
1.0,0.75,0.5627981985798787
1.0,0.6666666666666666,0.5657376499705502
1.0,0.5833333333333334,0.570775027820958
1.0,0.5,0.570837577264211
1.0,0.4166666666666667,0.5766042285752325
1.0,0.3333333333333333,0.5795609039363424
1.0,0.25,0.5810320885970646
1.0,0.16666666666666666,0.5814435336156895
1.0,0.08333333333333333,0.5834401589226508
