threshold,precision,recall
0.4256804830189348,0.5,1.0
0.4270755133107817,0.5217391304347826,1.0
0.42919789694921334,0.5454545454545454,1.0
0.4416451730263871,0.5714285714285714,1.0
0.4457249836798757,0.6,1.0
0.4467071127415601,0.631578947368421,1.0
0.4545121497949508,0.6666666666666666,1.0
0.45758576544623353,0.7058823529411765,1.0
0.4635202218352184,0.75,1.0
0.4708460073983517,0.8,1.0
0.4711003335379572,0.8571428571428571,1.0
0.47134343407331486,0.9230769230769231,1.0
0.5762012458169191,1.0,1.0
0.5774270846449834,1.0,0.9166666666666666
0.5891191553299189,1.0,0.8333333333333334
0.5897442231800115,1.0,0.75
0.590962256270683,1.0,0.6666666666666666
0.5981127040004266,1.0,0.5833333333333334
0.5999570683141923,1.0,0.5
0.6072970626609498,1.0,0.4166666666666667
0.609886942819513,1.0,0.3333333333333333
0.6126850304153627,1.0,0.25
0.6131191360103696,1.0,0.16666666666666666
0.6166154587044371,1.0,0.08333333333333333
